target_variable,feature_name,pearson_abs_corr,mutual_info_score
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Are you self-employed?,,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,How many employees does your company or organization have?,0.0435,0.003
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your employer primarily a tech company/organization?,0.0181,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your primary role within your company related to tech/IT?,0.0254,0.0024
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Does your employer provide mental health benefits as part of healthcare coverage?,0.1077,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you know the options for mental health care available under your employer-provided coverage?,0.1179,0.0206
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.1733,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.2198,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.3599,0.0623
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you think that discussing a physical health issue with your employer would have negative consequences?,0.27,0.0675
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.0813,0.0028
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you have previous employers?,0.1073,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have your previous employers provided mental health benefits?,0.0185,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Were you aware of the options for mental health care provided by your previous employers?,0.0519,0.0056
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0466,0.0302
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,0.0547,0.02
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,0.1247,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,0.1353,0.0249
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,0.0042,0.0024
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Would you have been willing to discuss a mental health issue with your previous co-workers?,0.1421,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,0.1255,0.0224
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,0.0225,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,0.0108,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.1465,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Would you bring up a mental health issue with a potential employer in an interview?,0.2878,0.0579
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,0.3308,0.0617
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,0.3632,0.0734
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,How willing would you be to share with friends and family that you have a mental illness?,0.2512,0.0454
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,0.1042,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,0.1558,0.0063
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you have a family history of mental illness?,0.002,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you had a mental health disorder in the past?,0.0324,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you currently have a mental health disorder?,0.0567,0.0014
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you been diagnosed with a mental health condition by a medical professional?,0.0136,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you ever sought treatment for a mental health issue from a mental health professional?,0.0305,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.0475,0.0014
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.0136,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,What is your age?,0.0308,0.0089
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you work remotely?,0.1457,0.0025
Would you feel comfortable discussing a mental health disorder with your coworkers?,Are you self-employed?,,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,How many employees does your company or organization have?,0.0533,0.0139
Would you feel comfortable discussing a mental health disorder with your coworkers?,Is your employer primarily a tech company/organization?,0.0491,0.0208
Would you feel comfortable discussing a mental health disorder with your coworkers?,Is your primary role within your company related to tech/IT?,0.0072,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Does your employer provide mental health benefits as part of healthcare coverage?,0.0486,0.0019
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you know the options for mental health care available under your employer-provided coverage?,0.0681,0.0164
Would you feel comfortable discussing a mental health disorder with your coworkers?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.1008,0.0046
Would you feel comfortable discussing a mental health disorder with your coworkers?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.1518,0.0036
Would you feel comfortable discussing a mental health disorder with your coworkers?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.2473,0.0397
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you think that discussing a physical health issue with your employer would have negative consequences?,0.1419,0.0287
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.0403,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you have previous employers?,0.0542,0.0011
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have your previous employers provided mental health benefits?,0.0609,0.0229
Would you feel comfortable discussing a mental health disorder with your coworkers?,Were you aware of the options for mental health care provided by your previous employers?,0.0405,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0344,0.0275
Would you feel comfortable discussing a mental health disorder with your coworkers?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,0.0355,0.0152
Would you feel comfortable discussing a mental health disorder with your coworkers?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,0.067,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,0.0936,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,0.0079,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you have been willing to discuss a mental health issue with your previous co-workers?,0.2015,0.0086
Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,0.1238,0.014
Would you feel comfortable discussing a mental health disorder with your coworkers?,Did you feel that your previous employers took mental health as seriously as physical health?,0.0249,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,0.0204,0.0071
Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.1375,0.0002
Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,0.2621,0.0402
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you feel that being identified as a person with a mental health issue would hurt your career?,0.2801,0.04
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,0.33,0.0485
Would you feel comfortable discussing a mental health disorder with your coworkers?,How willing would you be to share with friends and family that you have a mental illness?,0.2785,0.0424
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,0.0717,0.0083
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,0.1383,0.0038
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you have a family history of mental illness?,0.0,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have you had a mental health disorder in the past?,0.0046,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you currently have a mental health disorder?,0.0679,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have you been diagnosed with a mental health condition by a medical professional?,0.0284,0.0182
Would you feel comfortable discussing a mental health disorder with your coworkers?,Have you ever sought treatment for a mental health issue from a mental health professional?,0.0427,0.002
Would you feel comfortable discussing a mental health disorder with your coworkers?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.014,0.008
Would you feel comfortable discussing a mental health disorder with your coworkers?,"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.0298,0.0
Would you feel comfortable discussing a mental health disorder with your coworkers?,What is your age?,0.0552,0.0228
Would you feel comfortable discussing a mental health disorder with your coworkers?,Do you work remotely?,0.1213,0.0088
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Are you self-employed?,,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,How many employees does your company or organization have?,0.0171,0.0101
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Is your employer primarily a tech company/organization?,0.0646,0.01
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Is your primary role within your company related to tech/IT?,0.0994,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Does your employer provide mental health benefits as part of healthcare coverage?,0.1135,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you know the options for mental health care available under your employer-provided coverage?,0.0465,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.0926,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.153,0.0053
Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.3972,0.0702
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,0.434,0.0617
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.2302,0.0209
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you have previous employers?,0.0399,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have your previous employers provided mental health benefits?,0.0188,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Were you aware of the options for mental health care provided by your previous employers?,0.0232,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0099,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,0.0082,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,0.1053,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,0.2697,0.0407
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,0.1344,0.0031
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,0.0474,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,0.0645,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,0.0372,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,0.1029,0.0137
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.1745,0.022
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Would you bring up a mental health issue with a potential employer in an interview?,0.2067,0.0069
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you feel that being identified as a person with a mental health issue would hurt your career?,0.3469,0.0502
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,0.3883,0.0666
Do you think that discussing a mental health disorder with your employer would have negative consequences?,How willing would you be to share with friends and family that you have a mental illness?,0.1665,0.0217
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,0.2022,0.0186
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,0.1742,0.0103
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you have a family history of mental illness?,0.0944,0.0065
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have you had a mental health disorder in the past?,0.0991,0.0076
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you currently have a mental health disorder?,0.1457,0.0115
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have you been diagnosed with a mental health condition by a medical professional?,0.087,0.0134
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Have you ever sought treatment for a mental health issue from a mental health professional?,0.1042,0.006
Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.1105,0.0076
Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.0286,0.0
Do you think that discussing a mental health disorder with your employer would have negative consequences?,What is your age?,0.0284,0.0159
Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you work remotely?,0.1258,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Are you self-employed?,,0.0236
Do you feel that your employer takes mental health as seriously as physical health?,How many employees does your company or organization have?,0.0795,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Is your employer primarily a tech company/organization?,0.0375,0.0062
Do you feel that your employer takes mental health as seriously as physical health?,Is your primary role within your company related to tech/IT?,0.0097,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Does your employer provide mental health benefits as part of healthcare coverage?,0.0993,0.011
Do you feel that your employer takes mental health as seriously as physical health?,Do you know the options for mental health care available under your employer-provided coverage?,0.1058,0.0003
Do you feel that your employer takes mental health as seriously as physical health?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.2003,0.0016
Do you feel that your employer takes mental health as seriously as physical health?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.2175,0.0122
Do you feel that your employer takes mental health as seriously as physical health?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.3564,0.0922
Do you feel that your employer takes mental health as seriously as physical health?,Do you think that discussing a physical health issue with your employer would have negative consequences?,0.2024,0.0525
Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.1282,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Do you have previous employers?,0.0477,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Have your previous employers provided mental health benefits?,0.0421,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Were you aware of the options for mental health care provided by your previous employers?,0.0158,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0048,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,0.0505,0.0013
Do you feel that your employer takes mental health as seriously as physical health?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,0.0695,0.0025
Do you feel that your employer takes mental health as seriously as physical health?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,0.0904,0.0138
Do you feel that your employer takes mental health as seriously as physical health?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,0.0063,0.0178
Do you feel that your employer takes mental health as seriously as physical health?,Would you have been willing to discuss a mental health issue with your previous co-workers?,0.0879,0.0102
Do you feel that your employer takes mental health as seriously as physical health?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,0.0793,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Did you feel that your previous employers took mental health as seriously as physical health?,0.0267,0.0216
Do you feel that your employer takes mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,0.0198,0.0092
Do you feel that your employer takes mental health as seriously as physical health?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.1329,0.0015
Do you feel that your employer takes mental health as seriously as physical health?,Would you bring up a mental health issue with a potential employer in an interview?,0.2346,0.0352
Do you feel that your employer takes mental health as seriously as physical health?,Do you feel that being identified as a person with a mental health issue would hurt your career?,0.2624,0.0271
Do you feel that your employer takes mental health as seriously as physical health?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,0.2579,0.047
Do you feel that your employer takes mental health as seriously as physical health?,How willing would you be to share with friends and family that you have a mental illness?,0.1404,0.011
Do you feel that your employer takes mental health as seriously as physical health?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,0.1192,0.0023
Do you feel that your employer takes mental health as seriously as physical health?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,0.1147,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Do you have a family history of mental illness?,0.0654,0.0014
Do you feel that your employer takes mental health as seriously as physical health?,Have you had a mental health disorder in the past?,0.0574,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Do you currently have a mental health disorder?,0.0869,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Have you been diagnosed with a mental health condition by a medical professional?,0.0423,0.0242
Do you feel that your employer takes mental health as seriously as physical health?,Have you ever sought treatment for a mental health issue from a mental health professional?,0.0561,0.0313
Do you feel that your employer takes mental health as seriously as physical health?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.0519,0.0115
Do you feel that your employer takes mental health as seriously as physical health?,"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.0733,0.0
Do you feel that your employer takes mental health as seriously as physical health?,What is your age?,0.0077,0.0
Do you feel that your employer takes mental health as seriously as physical health?,Do you work remotely?,0.1366,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Are you self-employed?,,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",How many employees does your company or organization have?,0.1508,0.0034
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your employer primarily a tech company/organization?,0.1099,0.0254
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your primary role within your company related to tech/IT?,0.0765,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer provide mental health benefits as part of healthcare coverage?,0.1291,0.0143
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you know the options for mental health care available under your employer-provided coverage?,0.1621,0.0236
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.3925,0.092
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.2568,0.03
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.1705,0.0033
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a physical health issue with your employer would have negative consequences?,0.0828,0.0089
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.0104,0.0262
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you have previous employers?,0.0088,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have your previous employers provided mental health benefits?,0.0257,0.0135
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Were you aware of the options for mental health care provided by your previous employers?,0.0249,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0766,0.0011
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Did your previous employers provide resources to learn more about mental health issues and how to seek help?,0.0149,0.0155
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,0.0153,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a mental health disorder with previous employers would have negative consequences?,0.0315,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a physical health issue with previous employers would have negative consequences?,0.0034,0.0054
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Would you have been willing to discuss a mental health issue with your previous co-workers?,0.0102,0.012
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,0.011,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Did you feel that your previous employers took mental health as seriously as physical health?,0.0435,0.0277
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,0.0418,0.0243
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.0485,0.0074
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Would you bring up a mental health issue with a potential employer in an interview?,0.0349,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you feel that being identified as a person with a mental health issue would hurt your career?,0.0873,0.0174
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,0.0935,0.0081
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",How willing would you be to share with friends and family that you have a mental illness?,0.0926,0.0059
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,0.0061,0.0049
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,0.0515,0.0002
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you have a family history of mental illness?,0.0144,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you had a mental health disorder in the past?,0.0049,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you currently have a mental health disorder?,0.0112,0.0106
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you been diagnosed with a mental health condition by a medical professional?,0.014,0.0044
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever sought treatment for a mental health issue from a mental health professional?,0.0491,0.0085
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.023,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.0041,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",What is your age?,0.0564,0.0
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you work remotely?,0.0184,0.0
